position,title,company,location,job_type,experience,url
Data Engineer,Associate System Engineer “Associate Data Management Engineer,Target Integrated Systems -,"Cairo, Egypt",Full Time,· 0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/ubsrja3n94m1-associate-system-engineer-associate-data-management-engineer-target-integrated-systems-cairo-egypt
Data Engineer,Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/3x6prdwpt2tz-senior-data-engineer-vertex-technologies-cairo-egypt
Data Engineer,Data Center Facility Electrical/ Mechanical Engineer,GPX Egypt -,"New Cairo, Cairo, Egypt",Full Time,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/39xm37penfcr-data-center-facility-electrical-mechanical-engineer-gpx-egypt-cairo-egypt
Data Engineer,Data Engineer (Infrastructure & Operations),MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt",Full Time,· 5 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/mhqqwhx31ryd-data-engineer-infrastructure-operations-meahco-saudi-german-health-cairo-egypt
Data Engineer,Sr. Data Engineer - Spark,Techsa -,"Cairo, Egypt",Full Time,· 7+ Yrs of Exp,https://wuzzuf.net/jobs/p/4w6f7tucldaf-sr-data-engineer-spark-techsa-cairo-egypt
Data Engineer,Sr. Data Engineer - Flink,Techsa -,"Cairo, Egypt",Full Time,· 7+ Yrs of Exp,https://wuzzuf.net/jobs/p/kxuhb21u1pz5-sr-data-engineer-flink-techsa-cairo-egypt
Data Engineer,Principal Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,· 6+ Yrs of Exp,https://wuzzuf.net/jobs/p/2hly9qsdamhe-principal-data-engineer-vertex-technologies-cairo-egypt
Data Engineer,Production Planning Engineer,Badawy - BEECO -,"Cairo, Egypt",Full Time,· 3+ Yrs of Exp,https://wuzzuf.net/jobs/p/nebtxse2to5r-production-planning-engineer-badawy-beeco-cairo-egypt
Data Engineer,Technical Support & Quality Engineer,Bouri Group -,"New Cairo, Cairo, Egypt",Full Time,· 4 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/24a55ggjdiio-technical-support-quality-engineer-bouri-group-cairo-egypt
Data Engineer,Planning Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",Full Time,· 1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/nqbt5abgv20b-planning-engineer-saudi-firmness-cairo-egypt
Data Engineer,Industrial Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt",Full Time,· 7 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/pgfjoz30wrgh-industrial-engineer-sharqia-egypt
Data Engineer,Senior Machine Learning Engineer,TechJump -,"Alexandria, Egypt",Full Time,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/etxcwinbdjs4-senior-machine-learning-engineer-techjump-alexandria-egypt
Data Engineer,Facility Management Performance & Quality Engineer,Lasirena Group -,"Maadi, Cairo, Egypt",Full Time,· 7 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/6bjjkccradum-facility-management-performance-quality-engineer-lasirena-group-cairo-egypt
Data Engineer,SAP Master Data Administrator,Amreyah Cement -,"Nasr City, Cairo, Egypt",Full Time,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/tre5cqqrxiqf-sap-master-data-administrator-amreyah-cement-cairo-egypt
Data Engineer,Project Quality Engineer,ICPM -,"Sahel, Cairo, Egypt",Full Time,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/ihtdsvgl3sxh-project-quality-engineer-icpm-cairo-egypt
Data Engineer,Quality Control Engineer,Soudanco -,"Port Said, Egypt",Full Time,· 1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/usgnlqznm4dr-quality-control-engineer-soudanco-port-said-egypt
